,0
ModernBERT_ExHuBERT,0.32017743587493896
Prosody,0.0891273021697998
ModernBERT_Prosody_FinnSentiment_Arousal,0.2656019330024719
Arousal,0.22860980033874512
eGeMAPS,-0.0009553432464599609
ModernBERT_Prosody_FinnSentiment,0.22898399829864502
ModernBERT_ExHuBERT_FinnSentiment,0.34143996238708496
FinnSentiment,0.24773693084716797
ModernBERT_ExHuBERT_FinnSentiment_Arousal,0.347811222076416
ModernBERT_eGeMAPS_FinnSentiment_Arousal,0.2537803649902344
ModernBERT_eGeMAPS_FinnSentiment,0.23851358890533447
ModernBERT,0.20394188165664673
ModernBERT_Prosody,0.22269541025161743
ModernBERT_eGeMAPS,0.24822646379470825
ExHuBERT,0.17330366373062134
